Date,Open,High,Low,Close,Adj Close,Volume
9/18/2014,5.06543,5.06543,4.57996,4.68523,4.68523,4569260
9/19/2014,4.68729,4.75582,4.25435,4.32777,4.32777,3917450
9/20/2014,4.3292,4.61608,4.20219,4.28644,4.28644,5490660
9/21/2014,4.26307,4.30013,4.15499,4.24592,4.24592,2931220
9/22/2014,4.24593,4.41688,4.21013,4.24235,4.24235,1855960
9/23/2014,4.23999,4.88135,4.18887,4.74657,4.74657,4661670
9/24/2014,4.7442,4.74512,4.62769,4.66679,4.66679,2662290
9/25/2014,4.66588,4.67132,4.4487,4.51465,4.51465,2046960
9/26/2014,4.50993,4.55182,4.3888,4.43359,4.43359,1548350
9/27/2014,4.43439,4.48924,4.39799,4.4218,4.4218,889525
9/28/2014,4.42462,4.45761,4.20278,4.23323,4.23323,1741170
9/29/2014,4.23763,4.33025,4.1981,4.24679,4.24679,1712650
9/30/2014,4.25219,4.54901,4.22593,4.47473,4.47473,2456420
10/1/2014,4.47096,4.50374,4.38486,4.42856,4.42856,1172180
10/2/2014,4.43015,4.46348,4.28623,4.32266,4.32266,1124950
10/3/2014,4.31936,4.34031,4.16404,4.17512,4.17512,1471270
10/4/2014,4.17313,4.28404,3.88801,3.9382,3.9382,6948810
10/5/2014,3.94207,4.04342,3.4806,3.69914,3.69914,8143680
10/6/2014,3.70305,3.91486,3.57225,3.82237,3.82237,9482680
10/7/2014,3.81333,3.94986,3.68821,3.85863,3.85863,7096400
10/8/2014,3.85547,3.92989,3.74783,3.90789,3.90789,5850860
10/9/2014,3.90862,4.02876,3.86529,3.90066,3.90066,8316140
10/10/2014,3.89886,3.91589,3.77425,3.80739,3.80739,6313690
10/11/2014,3.79592,3.83897,3.67792,3.77266,3.77266,3498570
10/12/2014,3.77658,3.85147,3.69604,3.85033,3.85033,2712090
10/13/2014,3.84644,3.89574,3.79118,3.86178,3.86178,4200710
10/14/2014,3.86452,4.22911,3.86452,4.07591,4.07591,8247860
10/15/2014,4.07699,4.07699,3.99275,4.05642,4.05642,4837180
10/16/2014,4.05774,4.0968,3.95876,3.99089,3.99089,4204880
10/17/2014,3.99144,4.01603,3.95391,3.99327,3.99327,3561280
10/18/2014,3.99163,4.08773,3.95471,4.05576,4.05576,2386140
10/19/2014,4.05643,4.06146,3.97444,3.98894,3.98894,1576340
10/20/2014,3.98357,3.98357,3.87748,3.90983,3.90983,2252890
10/21/2014,3.9118,3.96994,3.90036,3.94001,3.94001,1948840
10/22/2014,3.94095,3.95996,3.83858,3.84332,3.84332,2094200
10/23/2014,3.84697,3.86606,3.72657,3.73965,3.73965,3191780
10/24/2014,3.73949,3.77981,3.7245,3.74753,3.74753,3557710
